"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","avtt_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","avmv_20202024","TimeFrame_2","GeoID_Description_3","GeoVintage_3","GeoID_Name_3","GeoID_3","GeoID_Formatted_3","d4a_2021","TimeFrame_3","GeoID_Description_4","GeoVintage_4","GeoID_Name_4","GeoID_4","GeoID_Formatted_4","d4c_2021","TimeFrame_4"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","1.2","2020-2024","Block Group, 2010","2010","040131141001","040131141001","=""040131141001""","197.14","2021","Block Group, 2010","2010","040131141001","040131141001","=""040131141001""","54.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","1.2","2020-2024","Block Group, 2010","2010","040131142001","040131142001","=""040131142001""","215.92","2021","Block Group, 2010","2010","040131142001","040131142001","=""040131142001""","18.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","1.2","2020-2024","Block Group, 2010","2010","040131149001","040131149001","=""040131149001""","348.69","2021","Block Group, 2010","2010","040131149001","040131149001","=""040131149001""","13.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","1.2","2020-2024","Block Group, 2010","2010","040131149002","040131149002","=""040131149002""","449.28","2021","Block Group, 2010","2010","040131149002","040131149002","=""040131149002""","10.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","1.2","2020-2024","Block Group, 2010","2010","040131154001","040131154001","=""040131154001""","358.08","2021","Block Group, 2010","2010","040131154001","040131154001","=""040131154001""","24.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131116011","040131116011","=""040131116011""","449.28","2021","Block Group, 2010","2010","040131116011","040131116011","=""040131116011""","10.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131116012","040131116012","=""040131116012""","423.79","2021","Block Group, 2010","2010","040131116012","040131116012","=""040131116012""","9.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131116021","040131116021","=""040131116021""","242.74","2021","Block Group, 2010","2010","040131116021","040131116021","=""040131116021""","11.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131116022","040131116022","=""040131116022""","476.10","2021","Block Group, 2010","2010","040131116022","040131116022","=""040131116022""","8.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131116023","040131116023","=""040131116023""","769.80","2021","Block Group, 2010","2010","040131116023","040131116023","=""040131116023""","9.67","2021"
