"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","mhhinc_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","rpopden_20202024","TimeFrame_2","GeoID_Description_3","GeoVintage_3","GeoID_Name_3","GeoID_3","GeoID_Formatted_3","ppov_20202024","TimeFrame_3","GeoID_Description_4","GeoVintage_4","GeoID_Name_4","GeoID_4","GeoID_Formatted_4","pbach_20202024","TimeFrame_4"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85022","85022","85022","69927","2020-2024","Zip Code Tabulation Area, 2020","2020","85022","85022","85022","5724.17","2020-2024","Zip Code Tabulation Area, 2020","2020","85022","85022","85022","12.61","2020-2024","Zip Code Tabulation Area, 2020","2020","85022","85022","85022","25.02","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85023","85023","85023","77369","2020-2024","Zip Code Tabulation Area, 2020","2020","85023","85023","85023","4725.84","2020-2024","Zip Code Tabulation Area, 2020","2020","85023","85023","85023","9.41","2020-2024","Zip Code Tabulation Area, 2020","2020","85023","85023","85023","19.52","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85024","85024","85024","106724","2020-2024","Zip Code Tabulation Area, 2020","2020","85024","85024","85024","2235.19","2020-2024","Zip Code Tabulation Area, 2020","2020","85024","85024","85024","6.30","2020-2024","Zip Code Tabulation Area, 2020","2020","85024","85024","85024","28.50","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85027","85027","85027","76605","2020-2024","Zip Code Tabulation Area, 2020","2020","85027","85027","85027","3365.82","2020-2024","Zip Code Tabulation Area, 2020","2020","85027","85027","85027","13.08","2020-2024","Zip Code Tabulation Area, 2020","2020","85027","85027","85027","22.42","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85028","85028","85028","125054","2020-2024","Zip Code Tabulation Area, 2020","2020","85028","85028","85028","2737.13","2020-2024","Zip Code Tabulation Area, 2020","2020","85028","85028","85028","5.19","2020-2024","Zip Code Tabulation Area, 2020","2020","85028","85028","85028","32.18","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85029","85029","85029","64556","2020-2024","Zip Code Tabulation Area, 2020","2020","85029","85029","85029","5309.93","2020-2024","Zip Code Tabulation Area, 2020","2020","85029","85029","85029","17.83","2020-2024","Zip Code Tabulation Area, 2020","2020","85029","85029","85029","16.93","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85031","85031","85031","70412","2020-2024","Zip Code Tabulation Area, 2020","2020","85031","85031","85031","7679.49","2020-2024","Zip Code Tabulation Area, 2020","2020","85031","85031","85031","16.95","2020-2024","Zip Code Tabulation Area, 2020","2020","85031","85031","85031","5.69","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85032","85032","85032","78643","2020-2024","Zip Code Tabulation Area, 2020","2020","85032","85032","85032","5730.07","2020-2024","Zip Code Tabulation Area, 2020","2020","85032","85032","85032","11.66","2020-2024","Zip Code Tabulation Area, 2020","2020","85032","85032","85032","22.67","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85033","85033","85033","64144","2020-2024","Zip Code Tabulation Area, 2020","2020","85033","85033","85033","9413.56","2020-2024","Zip Code Tabulation Area, 2020","2020","85033","85033","85033","18.67","2020-2024","Zip Code Tabulation Area, 2020","2020","85033","85033","85033","5.96","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85034","85034","85034","63559","2020-2024","Zip Code Tabulation Area, 2020","2020","85034","85034","85034","419.92","2020-2024","Zip Code Tabulation Area, 2020","2020","85034","85034","85034","25.40","2020-2024","Zip Code Tabulation Area, 2020","2020","85034","85034","85034","15.38","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85035","85035","85035","60440","2020-2024","Zip Code Tabulation Area, 2020","2020","85035","85035","85035","9546.38","2020-2024","Zip Code Tabulation Area, 2020","2020","85035","85035","85035","21.61","2020-2024","Zip Code Tabulation Area, 2020","2020","85035","85035","85035","5.49","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85037","85037","85037","84016","2020-2024","Zip Code Tabulation Area, 2020","2020","85037","85037","85037","6677.84","2020-2024","Zip Code Tabulation Area, 2020","2020","85037","85037","85037","11.69","2020-2024","Zip Code Tabulation Area, 2020","2020","85037","85037","85037","9.71","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85040","85040","85040","60727","2020-2024","Zip Code Tabulation Area, 2020","2020","85040","85040","85040","3374.80","2020-2024","Zip Code Tabulation Area, 2020","2020","85040","85040","85040","23.23","2020-2024","Zip Code Tabulation Area, 2020","2020","85040","85040","85040","10.17","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85041","85041","85041","75301","2020-2024","Zip Code Tabulation Area, 2020","2020","85041","85041","85041","3993.83","2020-2024","Zip Code Tabulation Area, 2020","2020","85041","85041","85041","15.85","2020-2024","Zip Code Tabulation Area, 2020","2020","85041","85041","85041","12.69","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85042","85042","85042","88717","2020-2024","Zip Code Tabulation Area, 2020","2020","85042","85042","85042","2360.82","2020-2024","Zip Code Tabulation Area, 2020","2020","85042","85042","85042","15.91","2020-2024","Zip Code Tabulation Area, 2020","2020","85042","85042","85042","21.13","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85043","85043","85043","78257","2020-2024","Zip Code Tabulation Area, 2020","2020","85043","85043","85043","2035.25","2020-2024","Zip Code Tabulation Area, 2020","2020","85043","85043","85043","15.61","2020-2024","Zip Code Tabulation Area, 2020","2020","85043","85043","85043","10.72","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85044","85044","85044","96820","2020-2024","Zip Code Tabulation Area, 2020","2020","85044","85044","85044","2385.09","2020-2024","Zip Code Tabulation Area, 2020","2020","85044","85044","85044","8.71","2020-2024","Zip Code Tabulation Area, 2020","2020","85044","85044","85044","30.25","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85045","85045","85045","153583","2020-2024","Zip Code Tabulation Area, 2020","2020","85045","85045","85045","1913.45","2020-2024","Zip Code Tabulation Area, 2020","2020","85045","85045","85045","2.71","2020-2024","Zip Code Tabulation Area, 2020","2020","85045","85045","85045","36.44","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85048","85048","85048","122833","2020-2024","Zip Code Tabulation Area, 2020","2020","85048","85048","85048","3425.28","2020-2024","Zip Code Tabulation Area, 2020","2020","85048","85048","85048","4.46","2020-2024","Zip Code Tabulation Area, 2020","2020","85048","85048","85048","36.94","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85050","85050","85050","139836","2020-2024","Zip Code Tabulation Area, 2020","2020","85050","85050","85050","2223.12","2020-2024","Zip Code Tabulation Area, 2020","2020","85050","85050","85050","4.47","2020-2024","Zip Code Tabulation Area, 2020","2020","85050","85050","85050","34.15","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85051","85051","85051","69189","2020-2024","Zip Code Tabulation Area, 2020","2020","85051","85051","85051","7200.99","2020-2024","Zip Code Tabulation Area, 2020","2020","85051","85051","85051","13.83","2020-2024","Zip Code Tabulation Area, 2020","2020","85051","85051","85051","12.20","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85053","85053","85053","70011","2020-2024","Zip Code Tabulation Area, 2020","2020","85053","85053","85053","5762.53","2020-2024","Zip Code Tabulation Area, 2020","2020","85053","85053","85053","11.20","2020-2024","Zip Code Tabulation Area, 2020","2020","85053","85053","85053","18.72","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85054","85054","85054","91507","2020-2024","Zip Code Tabulation Area, 2020","2020","85054","85054","85054","1208.29","2020-2024","Zip Code Tabulation Area, 2020","2020","85054","85054","85054","11.59","2020-2024","Zip Code Tabulation Area, 2020","2020","85054","85054","85054","39.14","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85083","85083","85083","149087","2020-2024","Zip Code Tabulation Area, 2020","2020","85083","85083","85083","1054.83","2020-2024","Zip Code Tabulation Area, 2020","2020","85083","85083","85083","1.35","2020-2024","Zip Code Tabulation Area, 2020","2020","85083","85083","85083","26.23","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85085","85085","85085","128984","2020-2024","Zip Code Tabulation Area, 2020","2020","85085","85085","85085","825.27","2020-2024","Zip Code Tabulation Area, 2020","2020","85085","85085","85085","5.59","2020-2024","Zip Code Tabulation Area, 2020","2020","85085","85085","85085","31.84","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85086","85086","85086","121676","2020-2024","Zip Code Tabulation Area, 2020","2020","85086","85086","85086","705.36","2020-2024","Zip Code Tabulation Area, 2020","2020","85086","85086","85086","5.79","2020-2024","Zip Code Tabulation Area, 2020","2020","85086","85086","85086","28.29","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85087","85087","85087","138566","2020-2024","Zip Code Tabulation Area, 2020","2020","85087","85087","85087","116.58","2020-2024","Zip Code Tabulation Area, 2020","2020","85087","85087","85087","3.45","2020-2024","Zip Code Tabulation Area, 2020","2020","85087","85087","85087","19.13","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85201","85201","85201","67294","2020-2024","Zip Code Tabulation Area, 2020","2020","85201","85201","85201","5437.41","2020-2024","Zip Code Tabulation Area, 2020","2020","85201","85201","85201","16.46","2020-2024","Zip Code Tabulation Area, 2020","2020","85201","85201","85201","18.28","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85202","85202","85202","71619","2020-2024","Zip Code Tabulation Area, 2020","2020","85202","85202","85202","6214.04","2020-2024","Zip Code Tabulation Area, 2020","2020","85202","85202","85202","13.83","2020-2024","Zip Code Tabulation Area, 2020","2020","85202","85202","85202","23.10","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85203","85203","85203","73578","2020-2024","Zip Code Tabulation Area, 2020","2020","85203","85203","85203","4108.01","2020-2024","Zip Code Tabulation Area, 2020","2020","85203","85203","85203","13.69","2020-2024","Zip Code Tabulation Area, 2020","2020","85203","85203","85203","17.74","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85204","85204","85204","72216","2020-2024","Zip Code Tabulation Area, 2020","2020","85204","85204","85204","6575.75","2020-2024","Zip Code Tabulation Area, 2020","2020","85204","85204","85204","14.22","2020-2024","Zip Code Tabulation Area, 2020","2020","85204","85204","85204","15.29","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85205","85205","85205","73283","2020-2024","Zip Code Tabulation Area, 2020","2020","85205","85205","85205","4454.14","2020-2024","Zip Code Tabulation Area, 2020","2020","85205","85205","85205","8.88","2020-2024","Zip Code Tabulation Area, 2020","2020","85205","85205","85205","20.03","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85206","85206","85206","75607","2020-2024","Zip Code Tabulation Area, 2020","2020","85206","85206","85206","3966.66","2020-2024","Zip Code Tabulation Area, 2020","2020","85206","85206","85206","8.62","2020-2024","Zip Code Tabulation Area, 2020","2020","85206","85206","85206","21.48","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85207","85207","85207","108699","2020-2024","Zip Code Tabulation Area, 2020","2020","85207","85207","85207","1741.77","2020-2024","Zip Code Tabulation Area, 2020","2020","85207","85207","85207","8.97","2020-2024","Zip Code Tabulation Area, 2020","2020","85207","85207","85207","24.81","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85208","85208","85208","69390","2020-2024","Zip Code Tabulation Area, 2020","2020","85208","85208","85208","4572.17","2020-2024","Zip Code Tabulation Area, 2020","2020","85208","85208","85208","9.20","2020-2024","Zip Code Tabulation Area, 2020","2020","85208","85208","85208","15.45","2020-2024"
