"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pcivunemp","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85209","AZ","85209","=""85209""","2.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85210","AZ","85210","=""85210""","5.14","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","2.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","4.97","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85215","AZ","85215","=""85215""","2.76","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85224","AZ","85224","=""85224""","2.43","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85225","AZ","85225","=""85225""","4.58","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85226","AZ","85226","=""85226""","4.30","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85233","AZ","85233","=""85233""","3.60","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85234","AZ","85234","=""85234""","2.87","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85236","AZ","85236","=""85236""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85248","AZ","85248","=""85248""","3.74","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85249","AZ","85249","=""85249""","2.63","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85250","AZ","85250","=""85250""","2.27","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85251","AZ","85251","=""85251""","4.08","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85253","AZ","85253","=""85253""","1.81","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85254","AZ","85254","=""85254""","2.97","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85255","AZ","85255","=""85255""","3.95","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85256","AZ","85256","=""85256""","12.75","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85257","AZ","85257","=""85257""","3.68","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85258","AZ","85258","=""85258""","3.37","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85259","AZ","85259","=""85259""","3.88","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85260","AZ","85260","=""85260""","3.36","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85262","AZ","85262","=""85262""","2.09","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85263","AZ","85263","=""85263""","3.66","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85264","AZ","85264","=""85264""","10.61","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85266","AZ","85266","=""85266""","3.56","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85268","AZ","85268","=""85268""","5.33","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85281","AZ","85281","=""85281""","6.82","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85282","AZ","85282","=""85282""","3.81","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85283","AZ","85283","=""85283""","5.47","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85284","AZ","85284","=""85284""","4.69","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85286","AZ","85286","=""85286""","3.68","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85295","AZ","85295","=""85295""","3.40","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85296","AZ","85296","=""85296""","3.39","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85297","AZ","85297","=""85297""","3.53","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85298","AZ","85298","=""85298""","4.17","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85301","AZ","85301","=""85301""","8.33","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85302","AZ","85302","=""85302""","6.92","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85303","AZ","85303","=""85303""","5.80","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85304","AZ","85304","=""85304""","3.22","2020-2024","2020","Census","Maricopa (County, 2022)"
