"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","plaborforce","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85209","AZ","85209","=""85209""","54.68","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85210","AZ","85210","=""85210""","70.95","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","69.08","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","60.99","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85215","AZ","85215","=""85215""","57.43","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85224","AZ","85224","=""85224""","71.94","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85225","AZ","85225","=""85225""","72.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85226","AZ","85226","=""85226""","74.20","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85233","AZ","85233","=""85233""","71.01","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85234","AZ","85234","=""85234""","71.61","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85236","AZ","85236","=""85236""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85248","AZ","85248","=""85248""","47.22","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85249","AZ","85249","=""85249""","64.96","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85250","AZ","85250","=""85250""","64.42","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85251","AZ","85251","=""85251""","71.00","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85253","AZ","85253","=""85253""","55.16","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85254","AZ","85254","=""85254""","65.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85255","AZ","85255","=""85255""","54.28","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85256","AZ","85256","=""85256""","57.82","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85257","AZ","85257","=""85257""","69.05","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85258","AZ","85258","=""85258""","55.29","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85259","AZ","85259","=""85259""","58.07","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85260","AZ","85260","=""85260""","67.24","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85262","AZ","85262","=""85262""","45.96","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85263","AZ","85263","=""85263""","33.01","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85264","AZ","85264","=""85264""","49.00","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85266","AZ","85266","=""85266""","41.17","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85268","AZ","85268","=""85268""","50.43","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85281","AZ","85281","=""85281""","71.50","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85282","AZ","85282","=""85282""","73.32","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85283","AZ","85283","=""85283""","72.66","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85284","AZ","85284","=""85284""","65.42","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85286","AZ","85286","=""85286""","72.39","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85295","AZ","85295","=""85295""","77.74","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85296","AZ","85296","=""85296""","73.56","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85297","AZ","85297","=""85297""","70.04","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85298","AZ","85298","=""85298""","66.84","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85301","AZ","85301","=""85301""","64.20","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85302","AZ","85302","=""85302""","64.85","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85303","AZ","85303","=""85303""","68.27","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85304","AZ","85304","=""85304""","61.87","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85305","AZ","85305","=""85305""","73.42","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85306","AZ","85306","=""85306""","64.65","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85307","AZ","85307","=""85307""","75.75","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85308","AZ","85308","=""85308""","66.55","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85309","AZ","85309","=""85309""","96.88","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85310","AZ","85310","=""85310""","67.33","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85320","AZ","85320","=""85320""","33.44","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85322","AZ","85322","=""85322""","54.74","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85323","AZ","85323","=""85323""","68.57","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85326","AZ","85326","=""85326""","59.44","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85329","AZ","85329","=""85329""","50.53","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85331","AZ","85331","=""85331""","62.19","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85333","AZ","85333","=""85333""","51.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85335","AZ","85335","=""85335""","68.27","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85337","AZ","85337","=""85337""","52.34","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85338","AZ","85338","=""85338""","66.73","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85339","AZ","85339","=""85339""","67.50","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85340","AZ","85340","=""85340""","66.57","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85343","AZ","85343","=""85343""","0.00","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85345","AZ","85345","=""85345""","62.66","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85351","AZ","85351","=""85351""","20.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85353","AZ","85353","=""85353""","70.40","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85354","AZ","85354","=""85354""","54.21","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85355","AZ","85355","=""85355""","69.14","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85361","AZ","85361","=""85361""","62.88","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85363","AZ","85363","=""85363""","57.02","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","37.83","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","44.34","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85375","AZ","85375","=""85375""","14.33","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85377","AZ","85377","=""85377""","43.52","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","56.45","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","69.91","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","65.76","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","58.77","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","65.05","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","52.50","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","67.69","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","40.03","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","69.88","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","43.52","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","55.83","2020-2024","2020","Census","Maricopa (County, 2022)"
