"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","ptranmv_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","ptranpt_20202024","TimeFrame_2"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85043","85043","85043","85.17","2020-2024","Zip Code Tabulation Area, 2020","2020","85043","85043","85043","1.18","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85044","85044","85044","68.96","2020-2024","Zip Code Tabulation Area, 2020","2020","85044","85044","85044","0.51","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85045","85045","85045","67.81","2020-2024","Zip Code Tabulation Area, 2020","2020","85045","85045","85045","0.14","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85048","85048","85048","68.84","2020-2024","Zip Code Tabulation Area, 2020","2020","85048","85048","85048","0.48","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85050","85050","85050","71.64","2020-2024","Zip Code Tabulation Area, 2020","2020","85050","85050","85050","0.05","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85051","85051","85051","81.49","2020-2024","Zip Code Tabulation Area, 2020","2020","85051","85051","85051","1.51","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85053","85053","85053","78.51","2020-2024","Zip Code Tabulation Area, 2020","2020","85053","85053","85053","0.79","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85054","85054","85054","67.06","2020-2024","Zip Code Tabulation Area, 2020","2020","85054","85054","85054","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85083","85083","85083","67.28","2020-2024","Zip Code Tabulation Area, 2020","2020","85083","85083","85083","0.38","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85085","85085","85085","64.84","2020-2024","Zip Code Tabulation Area, 2020","2020","85085","85085","85085","0.53","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85086","85086","85086","65.68","2020-2024","Zip Code Tabulation Area, 2020","2020","85086","85086","85086","0.31","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85087","85087","85087","72.39","2020-2024","Zip Code Tabulation Area, 2020","2020","85087","85087","85087","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85201","85201","85201","78.63","2020-2024","Zip Code Tabulation Area, 2020","2020","85201","85201","85201","1.88","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85202","85202","85202","73.14","2020-2024","Zip Code Tabulation Area, 2020","2020","85202","85202","85202","0.72","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85203","85203","85203","80.85","2020-2024","Zip Code Tabulation Area, 2020","2020","85203","85203","85203","0.34","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85204","85204","85204","81.31","2020-2024","Zip Code Tabulation Area, 2020","2020","85204","85204","85204","0.81","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85205","85205","85205","78.29","2020-2024","Zip Code Tabulation Area, 2020","2020","85205","85205","85205","0.35","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85206","85206","85206","77.86","2020-2024","Zip Code Tabulation Area, 2020","2020","85206","85206","85206","0.05","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85207","85207","85207","72.22","2020-2024","Zip Code Tabulation Area, 2020","2020","85207","85207","85207","0.36","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85208","85208","85208","81.51","2020-2024","Zip Code Tabulation Area, 2020","2020","85208","85208","85208","0.14","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85209","85209","85209","73.90","2020-2024","Zip Code Tabulation Area, 2020","2020","85209","85209","85209","0.51","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85210","85210","85210","81.14","2020-2024","Zip Code Tabulation Area, 2020","2020","85210","85210","85210","1.87","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85212","85212","85212","70.15","2020-2024","Zip Code Tabulation Area, 2020","2020","85212","85212","85212","0.30","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85213","85213","85213","77.05","2020-2024","Zip Code Tabulation Area, 2020","2020","85213","85213","85213","0.07","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85215","85215","85215","75.01","2020-2024","Zip Code Tabulation Area, 2020","2020","85215","85215","85215","0.38","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85224","85224","85224","73.29","2020-2024","Zip Code Tabulation Area, 2020","2020","85224","85224","85224","0.24","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85225","85225","85225","74.50","2020-2024","Zip Code Tabulation Area, 2020","2020","85225","85225","85225","0.88","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85226","85226","85226","72.28","2020-2024","Zip Code Tabulation Area, 2020","2020","85226","85226","85226","0.31","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85233","85233","85233","73.42","2020-2024","Zip Code Tabulation Area, 2020","2020","85233","85233","85233","0.17","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85234","85234","85234","71.71","2020-2024","Zip Code Tabulation Area, 2020","2020","85234","85234","85234","0.66","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85248","85248","85248","68.34","2020-2024","Zip Code Tabulation Area, 2020","2020","85248","85248","85248","0.03","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85249","85249","85249","68.57","2020-2024","Zip Code Tabulation Area, 2020","2020","85249","85249","85249","0.09","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85250","85250","85250","68.79","2020-2024","Zip Code Tabulation Area, 2020","2020","85250","85250","85250","0.35","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85251","85251","85251","65.63","2020-2024","Zip Code Tabulation Area, 2020","2020","85251","85251","85251","0.45","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85253","85253","85253","72.87","2020-2024","Zip Code Tabulation Area, 2020","2020","85253","85253","85253","0.00","2020-2024"
